Disease_1,Disease_2,is_a,Resemble,Source
DOID:0050426,DOID:37,1,0,DO
DOID:0050427,DOID:225,1,0,DO
DOID:0050428,DOID:3390,1,0,DO
DOID:3390,DOID:161,1,0,DO
DOID:0050429,DOID:9182,1,0,DO
DOID:9182,DOID:8502,1,0,DO
DOID:0050430,DOID:3125,1,0,DO
DOID:3125,DOID:225,1,0,DO
DOID:0050431,DOID:0060036,1,0,DO
DOID:0060036,DOID:0050700,1,0,DO
DOID:0050432,DOID:0060041,1,0,DO
DOID:0060041,DOID:0060040,1,0,DO
DOID:0050433,DOID:649,1,0,DO
DOID:649,DOID:936,1,0,DO
DOID:0050434,DOID:2843,1,0,DO
DOID:2843,DOID:0060036,1,0,DO
DOID:0050436,DOID:225,1,0,DO
DOID:0050437,DOID:3211,1,0,DO
DOID:3211,DOID:655,1,0,DO
DOID:0050438,DOID:225,1,0,DO
DOID:0050439,DOID:225,1,0,DO
DOID:0050440,DOID:0080299,1,0,DO
DOID:0080299,DOID:811,1,0,DO
DOID:0050441,DOID:1927,1,0,DO
DOID:1927,DOID:9455,1,0,DO
DOID:0050444,DOID:906,1,0,DO
DOID:906,DOID:655,1,0,DO
DOID:0050445,DOID:10609,1,0,DO
DOID:10609,DOID:0080005,1,0,DO
DOID:0050448,DOID:37,1,0,DO
DOID:0050449,DOID:225,1,0,DO
DOID:0050450,DOID:447,1,0,DO
DOID:447,DOID:557,1,0,DO
DOID:0050451,DOID:10273,1,0,DO
DOID:10273,DOID:114,1,0,DO
DOID:0050452,DOID:906,1,0,DO
DOID:0050453,DOID:2490,1,0,DO
DOID:2490,DOID:0080015,1,0,DO
DOID:0050454,DOID:2490,1,0,DO
DOID:0050456,DOID:0050338,1,0,DO
DOID:0050457,DOID:12336,1,0,DO
DOID:12336,DOID:48,1,0,DO
DOID:0050458,DOID:4972,1,0,DO
DOID:4972,DOID:0070004,1,0,DO
DOID:0050459,DOID:2485,1,0,DO
DOID:0050460,DOID:0060388,1,0,DO
DOID:0060388,DOID:0080014,1,0,DO
DOID:0050461,DOID:3211,1,0,DO
DOID:0050462,DOID:225,1,0,DO
DOID:0050463,DOID:2256,1,0,DO
DOID:2256,DOID:0080006,1,0,DO
DOID:0050464,DOID:9455,1,0,DO
DOID:9455,DOID:3211,1,0,DO
DOID:0050465,DOID:3883,1,0,DO
DOID:3883,DOID:225,1,0,DO
DOID:0050466,DOID:225,1,0,DO
DOID:0050467,DOID:37,1,0,DO
DOID:0050468,DOID:225,1,0,DO
DOID:0050469,DOID:0080690,1,0,DO
DOID:0080690,DOID:225,1,0,DO
DOID:0050470,DOID:225,1,0,DO
DOID:0050471,DOID:225,1,0,DO
DOID:0050472,DOID:421,1,0,DO
DOID:421,DOID:16,1,0,DO
DOID:0050473,DOID:225,1,0,DO
DOID:0050474,DOID:37,1,0,DO
DOID:0050475,DOID:225,1,0,DO
DOID:0050476,DOID:3146,1,0,DO
DOID:3146,DOID:655,1,0,DO
DOID:0050477,DOID:447,1,0,DO
DOID:0050480,DOID:11256,1,0,DO
DOID:11256,DOID:0050338,1,0,DO
DOID:0050481,DOID:11256,1,0,DO
DOID:0050484,DOID:11104,1,0,DO
DOID:0050485,DOID:0050338,1,0,DO
DOID:0050486,DOID:37,1,0,DO
DOID:0050487,DOID:0050486,1,0,DO
DOID:0050488,DOID:9856,1,0,DO
DOID:9856,DOID:4166,1,0,DO
DOID:0050489,DOID:12176,1,0,DO
DOID:12176,DOID:50,1,0,DO
DOID:0050490,DOID:9988,1,0,DO
DOID:9988,DOID:8200,1,0,DO
DOID:0050491,DOID:9988,1,0,DO
DOID:0050495,DOID:934,1,0,DO
DOID:0050508,DOID:8736,1,0,DO
DOID:8736,DOID:934,1,0,DO
DOID:0050513,DOID:0050515,1,0,DO
DOID:0050515,DOID:4953,1,0,DO
DOID:0050514,DOID:0050515,1,0,DO
DOID:4953,DOID:934,1,0,DO
DOID:0050516,DOID:934,1,0,DO
DOID:0050517,DOID:934,1,0,DO
DOID:0050518,DOID:934,1,0,DO
DOID:0050521,DOID:934,1,0,DO
DOID:0050522,DOID:11266,1,0,DO
DOID:0050523,DOID:715,1,0,DO
DOID:715,DOID:5603,1,0,DO
DOID:0050524,DOID:9351,1,0,DO
DOID:9351,DOID:4194,1,0,DO
DOID:0050526,DOID:225,1,0,DO
DOID:0050528,DOID:0111867,1,0,DO
DOID:0111867,DOID:0111866,1,0,DO
DOID:0050529,DOID:12377,1,0,DO
DOID:12377,DOID:231,1,0,DO
DOID:0050530,DOID:0060160,1,0,DO
DOID:0060160,DOID:12377,1,0,DO
DOID:0050534,DOID:8498,1,0,DO
DOID:8498,DOID:8499,1,0,DO
DOID:0050535,DOID:2462,1,0,DO
DOID:2462,DOID:5679,1,0,DO
DOID:0050537,DOID:83,1,0,DO
DOID:83,DOID:110,1,0,DO
DOID:0050538,DOID:10595,1,0,DO
DOID:10595,DOID:440,1,0,DO
DOID:0050539,DOID:10595,1,0,DO
DOID:0050540,DOID:10595,1,0,DO
DOID:0050541,DOID:10595,1,0,DO
DOID:0050542,DOID:10595,1,0,DO
DOID:0050543,DOID:10595,1,0,DO
DOID:0050544,DOID:9252,1,0,DO
DOID:9252,DOID:655,1,0,DO
DOID:0050545,DOID:0080015,1,0,DO
DOID:0080015,DOID:4,1,0,DO
DOID:0050546,DOID:9553,1,0,DO
DOID:9553,DOID:28,1,0,DO
DOID:0050547,DOID:3973,1,0,DO
DOID:3973,DOID:3963,1,0,DO
DOID:0050548,DOID:870,1,0,DO
DOID:870,DOID:574,1,0,DO
DOID:0050549,DOID:225,1,0,DO
DOID:0050553,DOID:225,1,0,DO
DOID:0050554,DOID:8955,1,0,DO
DOID:8955,DOID:12449,1,0,DO
DOID:0050557,DOID:9884,1,0,DO
DOID:9884,DOID:423,1,0,DO
DOID:0050558,DOID:0050557,1,0,DO
DOID:0050559,DOID:0111229,1,0,DO
DOID:0111229,DOID:0050588,1,0,DO
DOID:0050560,DOID:0050557,1,0,DO
DOID:0050561,DOID:0050704,1,0,DO
DOID:0050704,DOID:0070309,1,0,DO
DOID:0050562,DOID:0050703,1,0,DO
DOID:0050703,DOID:0050701,1,0,DO
DOID:0050563,DOID:2742,1,0,DO
DOID:2742,DOID:0050155,1,0,DO
DOID:0050564,DOID:0050563,1,0,DO
DOID:0050565,DOID:0050563,1,0,DO
DOID:0050566,DOID:0050563,1,0,DO
DOID:0050567,DOID:0080015,1,0,DO
DOID:0050568,DOID:1934,1,0,DO
DOID:1934,DOID:0080006,1,0,DO
DOID:0050569,DOID:225,1,0,DO
DOID:0050570,DOID:5212,1,0,DO
DOID:5212,DOID:2978,1,0,DO
DOID:0050571,DOID:5212,1,0,DO
DOID:0050572,DOID:8466,1,0,DO
DOID:8466,DOID:9799,1,0,DO
DOID:0050573,DOID:9252,1,0,DO
DOID:0050574,DOID:0050573,1,0,DO
DOID:0050575,DOID:0050573,1,0,DO
DOID:0050576,DOID:225,1,0,DO
DOID:0050577,DOID:225,1,0,DO
DOID:0050578,DOID:4448,1,0,DO
DOID:4448,DOID:8466,1,0,DO
DOID:0050579,DOID:2747,1,0,DO
DOID:2747,DOID:0050728,1,0,DO
DOID:0050580,DOID:4977,1,0,DO
DOID:4977,DOID:75,1,0,DO
DOID:0050581,DOID:1934,1,0,DO
DOID:0050584,DOID:8200,1,0,DO
DOID:8200,DOID:4166,1,0,DO
DOID:0050585,DOID:0080298,1,0,DO
DOID:0080298,DOID:811,1,0,DO
DOID:0050587,DOID:10937,1,0,DO
DOID:10937,DOID:150,1,0,DO
DOID:0050588,DOID:0050557,1,0,DO
DOID:0050589,DOID:5295,1,0,DO
DOID:0050590,DOID:1227,1,0,DO
DOID:1227,DOID:12987,1,0,DO
DOID:0050591,DOID:1091,1,0,DO
DOID:1091,DOID:403,1,0,DO
DOID:0050592,DOID:0080006,1,0,DO
DOID:0080006,DOID:0080001,1,0,DO
DOID:0050593,DOID:1686,1,0,DO
DOID:1686,DOID:5614,1,0,DO
DOID:0050594,DOID:2747,1,0,DO
DOID:0050596,DOID:883,1,0,DO
DOID:0050597,DOID:1395,1,0,DO
DOID:1395,DOID:883,1,0,DO
DOID:0050598,DOID:399,1,0,DO
DOID:399,DOID:0050338,1,0,DO
DOID:0050599,DOID:0050598,1,0,DO
DOID:0050600,DOID:225,1,0,DO
DOID:0050601,DOID:225,1,0,DO
DOID:0050602,DOID:225,1,0,DO
DOID:0050603,DOID:2256,1,0,DO
DOID:0050604,DOID:2256,1,0,DO
DOID:0050605,DOID:896,1,0,DO
DOID:896,DOID:655,1,0,DO
DOID:0050606,DOID:161,1,0,DO
DOID:161,DOID:37,1,0,DO
DOID:0050608,DOID:3369,1,0,DO
DOID:3369,DOID:201,1,0,DO
DOID:0050610,DOID:8719,1,0,DO
DOID:8719,DOID:0060071,1,0,DO
DOID:0050611,DOID:8719,1,0,DO
DOID:0050612,DOID:8719,1,0,DO
DOID:0050613,DOID:8719,1,0,DO
DOID:0050614,DOID:8719,1,0,DO
DOID:0050615,DOID:0050686,1,0,DO
DOID:0050686,DOID:162,1,0,DO
DOID:0050619,DOID:0050615,1,0,DO
DOID:0050620,DOID:5974,1,0,DO
DOID:5974,DOID:4919,1,0,DO
DOID:0050621,DOID:0060085,1,0,DO
DOID:0060085,DOID:0060072,1,0,DO
DOID:0050622,DOID:0060085,1,0,DO
DOID:0050623,DOID:731,1,0,DO
DOID:731,DOID:0060085,1,0,DO
DOID:0050624,DOID:0060085,1,0,DO
DOID:0050625,DOID:3117,1,0,DO
DOID:3117,DOID:0050624,1,0,DO
DOID:0050626,DOID:3119,1,0,DO
DOID:3119,DOID:0050686,1,0,DO
DOID:0050628,DOID:535,1,0,DO
DOID:535,DOID:150,1,0,DO
DOID:0050629,DOID:225,1,0,DO
DOID:0050630,DOID:5614,1,0,DO
DOID:5614,DOID:0050155,1,0,DO
DOID:0050631,DOID:225,1,0,DO
DOID:0050632,DOID:225,1,0,DO
DOID:0050633,DOID:5614,1,0,DO
DOID:0050634,DOID:987,1,0,DO
DOID:987,DOID:4535,1,0,DO
DOID:0050635,DOID:10969,1,0,DO
DOID:10969,DOID:331,1,0,DO
DOID:0050636,DOID:9120,1,0,DO
DOID:9120,DOID:0060158,1,0,DO
DOID:0050637,DOID:9120,1,0,DO
DOID:0050638,DOID:9120,1,0,DO
DOID:0050639,DOID:9120,1,0,DO
DOID:0050640,DOID:0080027,1,0,DO
DOID:0080027,DOID:2256,1,0,DO
DOID:0050641,DOID:583,1,0,DO
DOID:583,DOID:720,1,0,DO
DOID:0050642,DOID:11252,1,0,DO
DOID:11252,DOID:2355,1,0,DO
DOID:0050644,DOID:178,1,0,DO
DOID:178,DOID:1287,1,0,DO
DOID:0050645,DOID:65,1,0,DO
DOID:65,DOID:17,1,0,DO
DOID:0050646,DOID:66,1,0,DO
DOID:66,DOID:0080000,1,0,DO
DOID:0050647,DOID:0060309,1,0,DO
DOID:0060309,DOID:0050888,1,0,DO
DOID:0050648,DOID:2256,1,0,DO
DOID:0050649,DOID:896,1,0,DO
DOID:0050650,DOID:0060224,1,0,DO
DOID:0060224,DOID:10273,1,0,DO
DOID:0050651,DOID:1681,1,0,DO
DOID:1681,DOID:1682,1,0,DO
DOID:0050654,DOID:11971,1,0,DO
DOID:11971,DOID:1934,1,0,DO
DOID:0050655,DOID:1459,1,0,DO
DOID:0050656,DOID:225,1,0,DO
DOID:0050657,DOID:225,1,0,DO
DOID:0050658,DOID:225,1,0,DO
DOID:0050659,DOID:679,1,0,DO
DOID:679,DOID:936,1,0,DO
DOID:0050660,DOID:225,1,0,DO
DOID:0050661,DOID:4448,1,0,DO
DOID:0050662,DOID:4448,1,0,DO
DOID:0050663,DOID:0050557,1,0,DO
DOID:0050664,DOID:8466,1,0,DO
DOID:0050665,DOID:0050696,1,0,DO
DOID:0050696,DOID:0060038,1,0,DO
DOID:0050666,DOID:0050696,1,0,DO
DOID:0050667,DOID:0050696,1,0,DO
DOID:0050668,DOID:0050696,1,0,DO
DOID:0050669,DOID:1969,1,0,DO
DOID:1969,DOID:936,1,0,DO
DOID:0050670,DOID:1969,1,0,DO
DOID:0050671,DOID:1612,1,0,DO
DOID:1612,DOID:5093,1,0,DO
DOID:0050672,DOID:1969,1,0,DO
DOID:0050673,DOID:1969,1,0,DO
DOID:0050674,DOID:1701,1,0,DO
DOID:1701,DOID:3146,1,0,DO
DOID:0050675,DOID:225,1,0,DO
DOID:0050676,DOID:37,1,0,DO
DOID:0050677,DOID:225,1,0,DO
DOID:0050678,DOID:225,1,0,DO
DOID:0050679,DOID:13911,1,0,DO
DOID:13911,DOID:13399,1,0,DO
DOID:0050680,DOID:2256,1,0,DO
DOID:0050681,DOID:0060309,1,0,DO
DOID:0050682,DOID:936,1,0,DO
DOID:936,DOID:331,1,0,DO
DOID:0050683,DOID:8501,1,0,DO
DOID:8501,DOID:5614,1,0,DO
DOID:0050684,DOID:225,1,0,DO
DOID:0050685,DOID:305,1,0,DO
DOID:305,DOID:0050687,1,0,DO
DOID:162,DOID:14566,1,0,DO
DOID:0050687,DOID:162,1,0,DO
DOID:0050688,DOID:5672,1,0,DO
DOID:5672,DOID:10155,1,0,DO
DOID:0050689,DOID:225,1,0,DO
DOID:0050690,DOID:2256,1,0,DO
DOID:0050691,DOID:225,1,0,DO
DOID:0050692,DOID:440,1,0,DO
DOID:440,DOID:870,1,0,DO
DOID:0050693,DOID:37,1,0,DO
DOID:0050694,DOID:225,1,0,DO
DOID:0050695,DOID:5158,1,0,DO
DOID:5158,DOID:201,1,0,DO
DOID:0060038,DOID:0060037,1,0,DO
DOID:0050697,DOID:780,1,0,DO
